Account length,Customer service calls,International plan,Number vmail messages,Total day calls,Total day charge,Total day minutes,Total eve calls,Total eve charge,Total eve minutes,Total intl calls,Total intl charge,Total intl minutes,Total night calls,Total night charge,Total night minutes,Voice mail plan,Changed
111,5,No,0,88,20.93,123.1,84,18.18,213.9,2,3.24,12.0,88,8.32,184.9,No,True
64,1,No,0,83,27.64,162.6,109,12.95,152.3,3,3.83,14.2,122,2.59,57.5,No,False
146,1,Yes,0,65,22.61,133.0,93,22.34,262.8,3,3.02,11.2,128,9.64,214.3,No,False
10,2,No,0,103,31.11,183.0,77,18.26,214.8,6,2.35,8.7,73,9.29,206.4,No,False
60,2,No,31,75,32.61,191.8,135,22.76,267.8,3,3.46,12.8,62,9.02,200.5,Yes,False
64,3,No,0,117,21.1,124.1,108,16.39,192.8,5,1.73,6.4,84,7.33,162.9,No,False
108,2,No,30,99,47.02,276.6,113,18.71,220.1,6,2.65,9.8,95,8.01,177.9,Yes,False
121,2,No,0,128,28.71,168.9,99,10.53,123.9,7,0.78,2.9,105,11.98,266.3,No,False
106,3,No,9,100,15.05,88.5,109,27.61,324.8,4,2.21,8.2,86,3.6,79.9,Yes,False
181,2,No,40,61,17.88,105.2,79,29.01,341.3,3,1.7,6.3,97,7.46,165.7,Yes,False
167,1,No,0,85,28.29,166.4,135,20.67,243.2,5,2.67,9.9,95,10.31,229.2,No,False
74,0,No,0,106,23.24,136.7,105,19.43,228.6,4,2.65,9.8,114,11.94,265.3,No,False
104,0,No,0,128,39.81,234.2,92,24.91,293.1,6,2.65,9.8,79,8.28,183.9,No,True
103,1,No,0,84,28.32,166.6,91,16.35,192.4,6,2.08,7.7,115,7.56,167.9,No,False
97,0,No,0,81,36.99,217.6,51,27.24,320.5,3,1.13,4.2,110,6.78,150.7,No,False
104,4,Yes,0,73,27.27,160.4,103,24.98,293.9,5,3.4,12.6,90,13.8,306.6,No,False
13,3,No,21,105,53.65,315.6,71,17.76,208.9,3,3.27,12.1,123,11.7,260.1,Yes,False
109,1,No,0,113,37.77,222.2,122,18.57,218.5,5,2.94,10.9,88,11.97,266.0,No,False
132,1,No,0,66,19.99,117.6,108,18.19,214.0,5,2.38,8.8,94,10.78,239.5,No,False
126,0,No,0,93,17.63,103.7,107,10.8,127.0,1,3.89,14.4,66,14.82,329.3,No,False
87,3,No,0,91,21.13,124.3,105,14.74,173.4,5,2.03,7.5,109,11.53,256.3,No,False
64,1,No,0,67,26.18,154.0,118,19.19,225.8,3,0.95,3.5,86,11.94,265.3,No,False
127,1,No,0,124,30.99,182.3,110,14.44,169.9,3,2.51,9.3,116,8.28,184.0,No,False
103,2,No,0,62,32.45,190.9,53,19.26,226.6,3,2.11,7.8,96,10.35,230.1,No,False
158,1,No,0,112,35.68,209.9,82,18.81,221.3,3,2.21,8.2,93,9.45,210.0,No,False
67,1,No,40,65,17.83,104.9,93,18.39,216.3,9,2.59,9.6,128,9.78,217.4,Yes,False
143,1,No,33,109,40.66,239.2,112,20.02,235.5,4,2.57,9.5,95,7.03,156.3,Yes,False
123,0,No,0,107,26.23,154.3,111,15.56,183.0,8,2.94,10.9,134,2.43,54.0,No,False
138,0,No,0,89,37.43,220.2,125,7.51,88.3,5,3.48,12.9,79,8.79,195.3,No,False
113,4,No,0,129,36.64,215.5,117,18.59,218.7,9,1.78,6.6,91,9.32,207.1,No,False
107,2,No,0,100,28.44,167.3,79,13.93,163.9,5,1.81,6.7,100,8.37,185.9,No,False
76,1,No,33,66,32.25,189.7,65,18.09,212.8,5,2.7,10.0,108,7.46,165.7,Yes,False
165,3,No,39,113,28.46,167.4,94,14.68,172.7,4,2.57,9.5,113,8.67,192.6,Yes,False
142,2,No,0,133,31.79,187.0,74,11.44,134.6,5,2.0,7.4,127,10.9,242.2,No,False
46,1,No,0,105,26.59,156.4,98,15.77,185.5,3,3.19,11.8,96,10.2,226.7,No,False
140,2,No,0,81,40.04,235.5,130,21.86,257.2,4,3.11,11.5,111,4.64,103.1,No,False
124,1,No,37,109,27.4,161.2,79,17.36,204.2,4,2.4,8.9,87,10.42,231.5,Yes,False
116,1,Yes,27,137,29.84,175.5,60,17.9,210.6,5,1.86,6.9,121,13.27,294.8,Yes,False
68,1,Yes,39,140,24.14,142.0,89,20.54,241.6,5,3.05,11.3,72,13.59,302.0,Yes,False
127,2,No,19,115,22.05,129.7,101,13.67,160.8,3,3.29,12.2,63,11.93,265.0,Yes,False
134,2,No,0,85,44.0,258.8,114,11.01,129.5,7,2.94,10.9,106,8.71,193.6,No,False
79,3,No,0,97,44.49,261.7,48,17.9,210.6,3,1.62,6.0,83,11.55,256.7,No,True
95,1,No,39,130,44.34,260.8,111,18.14,213.4,5,2.73,10.1,97,8.8,195.6,Yes,False
46,1,No,0,108,15.37,90.4,77,23.48,276.2,2,3.43,12.7,111,6.59,146.5,No,False
109,1,No,0,143,31.3,184.1,105,17.99,211.7,2,2.67,9.9,116,10.93,243.0,No,False
116,3,Yes,0,104,36.62,215.4,79,17.41,204.8,5,3.4,12.6,109,12.53,278.5,No,False
7,1,No,30,114,37.64,221.4,116,14.09,165.8,12,2.92,10.8,105,11.12,247.0,Yes,False
43,1,No,0,125,28.63,168.4,89,20.72,243.8,2,3.0,11.1,102,9.66,214.7,No,False
129,4,No,0,114,24.43,143.7,98,25.31,297.8,8,3.08,11.4,86,9.57,212.6,No,False
156,1,No,0,94,30.4,178.8,97,15.16,178.4,3,2.03,7.5,77,7.61,169.2,No,False
88,3,No,0,115,36.65,215.6,85,18.38,216.2,1,3.19,11.8,65,7.71,171.3,No,False
135,1,No,27,141,46.48,273.4,99,13.09,154.0,6,3.32,12.3,112,11.06,245.8,Yes,False
16,0,Yes,0,91,18.7,110.0,75,12.52,147.3,7,1.73,6.4,73,8.57,190.5,No,False
101,2,No,21,88,40.46,238.0,84,17.82,209.6,5,2.7,10.0,95,10.49,233.0,Yes,False
116,5,No,0,94,22.66,133.3,126,21.06,247.8,5,3.05,11.3,78,9.86,219.0,No,True
50,3,No,31,93,51.46,302.7,119,20.44,240.5,14,3.67,13.6,103,8.73,193.9,Yes,False
70,0,No,0,125,30.16,177.4,104,19.23,226.2,4,2.94,10.9,72,11.43,254.1,No,False
174,1,No,0,97,32.66,192.1,94,14.44,169.9,4,3.08,11.4,54,7.5,166.6,No,False
63,0,No,0,107,35.99,211.7,77,23.09,271.7,7,2.0,7.4,108,9.15,203.3,No,False
110,2,No,0,62,16.9,99.4,86,23.38,275.0,3,4.51,16.7,94,9.54,212.1,No,False
75,1,No,0,92,24.34,143.2,142,17.77,209.1,9,3.21,11.9,96,7.79,173.0,No,False
103,1,No,0,134,30.63,180.2,85,8.3,97.7,3,2.27,8.4,134,8.18,181.7,No,False
181,1,No,0,91,24.36,143.3,58,16.62,195.5,7,1.62,6.0,95,10.05,223.3,No,False
31,1,No,0,105,28.24,166.1,93,6.74,79.3,2,3.43,12.7,98,9.62,213.7,No,False
118,2,No,39,125,15.56,91.5,113,18.69,219.9,8,3.43,12.7,99,10.31,229.0,Yes,False
93,1,No,0,141,25.86,152.1,107,18.32,215.5,7,3.24,12.0,111,11.81,262.4,No,False
90,1,No,0,91,10.42,61.3,94,16.52,194.4,9,3.08,11.4,80,6.44,143.1,No,False
139,0,No,0,110,23.63,139.0,93,11.3,132.9,1,3.27,12.1,120,12.24,272.0,No,False
125,2,No,39,107,40.14,236.1,110,24.58,289.2,4,2.46,9.1,107,7.89,175.4,Yes,False
77,2,No,0,87,39.1,230.0,138,8.77,103.2,3,3.05,11.3,136,13.93,309.6,No,False
135,1,Yes,0,107,31.62,186.0,94,5.61,66.0,4,3.48,12.9,105,9.59,213.1,No,False
108,1,No,0,78,36.65,215.6,119,16.6,195.3,5,0.97,3.6,65,8.75,194.4,No,False
24,1,No,0,104,41.12,241.9,112,12.34,145.2,5,1.78,6.6,105,9.65,214.5,No,False
151,3,No,0,104,40.1,235.9,91,6.85,80.6,2,1.57,5.8,116,9.58,212.8,No,False
54,1,No,0,119,19.86,116.8,123,10.46,123.1,2,3.24,12.0,101,9.79,217.5,No,False
59,2,No,0,95,28.27,166.3,87,20.34,239.3,3,2.7,10.0,108,5.54,123.2,No,False
76,0,No,0,77,28.82,169.5,87,10.54,124.0,3,2.7,10.0,92,9.87,219.4,No,False
106,3,No,31,125,33.56,197.4,110,10.49,123.4,4,3.32,12.3,101,5.2,115.6,Yes,False
106,4,No,32,126,28.2,165.9,93,18.4,216.5,8,3.81,14.1,86,7.79,173.1,Yes,False
131,1,No,34,134,26.62,156.6,95,6.04,71.0,10,3.62,13.4,120,11.78,261.7,Yes,False
148,1,No,33,84,41.09,241.7,84,14.09,165.8,3,3.05,11.3,80,7.23,160.6,Yes,False
151,0,No,26,98,33.41,196.5,111,14.94,175.8,5,3.62,13.4,124,9.98,221.8,Yes,False
87,3,No,0,105,28.75,169.1,102,14.44,169.9,10,2.67,9.9,106,11.02,244.9,No,False
49,2,No,0,69,20.3,119.4,92,23.23,273.3,7,3.35,12.4,153,9.65,214.4,No,False
144,1,No,37,102,37.38,219.9,77,18.88,222.1,4,2.7,10.0,111,5.33,118.5,Yes,False
46,3,No,0,111,33.86,199.2,83,14.88,175.1,2,2.75,10.2,84,9.48,210.6,No,False
87,0,No,0,125,9.86,58.0,116,5.74,67.5,3,3.11,11.5,136,8.37,185.9,No,False
90,2,No,29,106,31.55,185.6,113,18.67,219.7,5,3.0,11.1,120,6.84,152.1,Yes,False
78,2,No,0,106,26.35,155.0,101,14.9,175.3,5,3.19,11.8,125,7.0,155.6,No,False
123,2,No,0,78,29.87,175.7,96,15.69,184.6,2,2.46,9.1,92,7.06,156.9,No,False
90,1,No,0,83,32.93,193.7,79,13.11,154.2,3,3.43,12.7,60,13.46,299.0,No,False
37,2,No,0,114,39.73,233.7,109,17.67,207.9,2,3.24,12.0,101,9.57,212.7,No,False
118,1,Yes,39,106,26.15,153.8,111,10.48,123.3,6,2.48,9.2,103,5.3,117.8,Yes,False
64,5,No,0,73,25.18,148.1,101,14.02,164.9,2,3.32,12.3,125,9.72,216.0,No,True
132,1,No,0,105,32.32,190.1,116,15.49,182.2,2,3.51,13.0,105,12.59,279.8,No,False
70,2,No,0,97,35.48,208.7,83,23.42,275.5,3,2.16,8.0,122,8.21,182.5,No,False
141,0,No,0,111,32.71,192.4,87,13.34,156.9,6,2.97,11.0,82,7.91,175.8,No,False
117,0,No,0,84,40.78,239.9,106,14.86,174.8,2,2.65,9.8,93,9.43,209.5,No,False
86,0,No,0,96,14.2,83.5,63,18.79,221.1,3,3.4,12.6,75,15.74,349.7,No,False
134,0,No,32,94,13.65,80.3,124,16.99,199.9,3,4.48,16.6,117,7.69,170.8,Yes,False
160,1,No,0,117,28.29,166.4,129,26.95,317.0,2,2.7,10.0,121,7.22,160.4,No,False
147,3,No,0,83,22.2,130.6,144,17.69,208.1,3,4.21,15.6,72,9.21,204.6,No,False
182,2,No,0,118,47.52,279.5,113,17.27,203.2,4,2.89,10.7,101,7.84,174.2,No,True
110,0,No,0,95,25.23,148.4,98,16.47,193.8,6,1.86,6.9,106,9.27,206.0,No,False
100,0,No,0,122,34.65,203.8,76,24.06,283.1,3,3.38,12.5,83,8.88,197.3,No,False
137,0,No,0,120,29.65,174.4,98,13.29,156.3,5,2.75,10.2,121,6.14,136.5,No,False
101,1,No,0,87,39.32,231.3,88,19.1,224.7,7,1.94,7.2,69,9.66,214.6,No,False
158,1,No,0,106,26.86,158.0,114,24.86,292.5,4,2.46,9.1,89,10.85,241.1,No,False
138,3,No,0,102,21.61,127.1,106,21.05,247.7,3,1.35,5.0,75,9.35,207.7,No,False
84,2,No,30,65,18.11,106.5,108,19.18,225.7,3,1.54,5.7,61,8.49,188.6,Yes,False
37,3,No,0,98,22.93,134.9,130,21.11,248.4,2,3.97,14.7,113,10.63,236.2,No,False
61,4,No,27,124,31.88,187.5,103,12.46,146.6,6,1.73,6.4,129,10.16,225.7,Yes,True
108,1,No,0,129,17.51,103.0,103,20.6,242.3,3,2.13,7.9,89,7.66,170.2,No,False
30,0,No,0,88,38.66,227.4,100,15.51,182.5,3,3.38,12.5,134,8.63,191.7,No,False
127,3,No,0,117,16.32,96.0,68,15.05,177.0,4,2.62,9.7,127,7.3,162.2,No,False
170,0,No,0,107,41.89,246.4,124,19.39,228.1,8,2.46,9.1,95,7.49,166.4,No,False
98,3,No,0,107,12.38,72.8,103,15.84,186.4,4,2.84,10.5,110,7.89,175.3,No,False
126,3,No,0,96,42.47,249.8,92,22.26,261.9,4,3.43,12.7,108,7.51,166.8,No,True
58,0,No,0,89,39.92,234.8,131,9.08,106.8,6,2.67,9.9,122,8.03,178.5,No,False
124,1,No,0,112,53.04,312.0,109,15.3,180.0,4,3.46,12.8,94,7.59,168.6,No,True
132,1,No,15,128,26.28,154.6,106,20.88,245.6,4,2.46,9.1,90,6.69,148.6,Yes,False
68,2,No,0,107,37.76,222.1,102,16.95,199.4,3,2.54,9.4,107,7.31,162.4,No,False
113,1,No,32,89,30.67,180.4,124,11.0,129.4,2,2.27,8.4,124,7.51,166.9,Yes,False
89,5,No,0,71,21.96,129.2,68,18.2,214.1,4,2.78,10.3,100,9.67,214.9,No,True
134,6,No,0,108,34.8,204.7,105,12.16,143.1,4,2.97,11.0,84,7.46,165.8,No,False
84,2,No,0,105,22.13,130.2,60,23.63,278.0,6,3.78,14.0,74,13.74,305.4,No,False
119,1,No,0,70,22.93,134.9,74,17.98,211.5,6,3.05,11.3,105,8.48,188.5,No,False
115,1,Yes,0,119,30.6,180.0,126,16.9,198.8,3,3.35,12.4,70,9.77,217.1,No,False
125,2,No,0,108,19.21,113.0,107,14.38,169.2,5,2.48,9.2,61,7.05,156.6,No,True
122,0,No,0,128,24.04,141.4,70,12.44,146.4,4,2.19,8.1,75,5.54,123.0,No,False
17,1,No,35,123,33.75,198.5,74,23.0,270.6,10,2.19,8.1,130,9.45,209.9,Yes,False
62,0,Yes,32,93,37.13,218.4,132,20.12,236.7,3,3.56,13.2,137,8.65,192.2,Yes,True
37,1,Yes,39,122,25.45,149.7,75,17.94,211.1,4,2.48,9.2,90,5.14,114.3,Yes,False
163,1,Yes,0,90,33.52,197.2,113,16.02,188.5,8,2.11,7.8,94,9.5,211.1,No,False
48,4,No,0,64,33.61,197.7,126,11.62,136.7,5,3.56,13.2,81,11.0,244.4,No,False
105,2,No,15,125,14.98,88.1,142,14.95,175.9,1,2.62,9.7,85,12.15,269.9,Yes,False
92,3,Yes,0,120,42.89,252.3,112,17.6,207.0,5,3.24,12.0,95,12.81,284.6,No,True
92,3,No,0,74,34.32,201.9,119,19.28,226.8,6,3.7,13.7,80,9.79,217.5,No,False
130,0,No,0,70,21.13,124.3,99,23.01,270.7,6,0.95,3.5,83,10.78,239.5,No,False
85,1,No,33,95,35.34,207.9,88,19.85,233.5,3,3.65,13.5,92,9.96,221.3,Yes,False
31,1,No,0,129,16.58,97.5,78,22.13,260.4,5,1.89,7.0,100,3.99,88.7,No,False
115,1,No,29,81,37.84,222.6,109,16.18,190.3,2,3.11,11.5,87,9.05,201.2,Yes,False
140,3,No,0,101,39.42,231.9,94,13.61,160.1,6,3.86,14.3,98,4.97,110.4,No,False
125,1,No,0,132,23.82,140.1,126,17.82,209.6,2,2.16,8.0,77,11.88,264.1,No,False
41,2,No,0,92,40.43,237.8,155,19.0,223.5,6,2.75,10.2,90,9.78,217.4,No,False
109,1,No,0,80,29.85,175.6,94,20.23,238.0,6,2.75,10.2,103,8.93,198.4,No,False
81,1,No,0,84,26.27,154.5,91,18.38,216.2,3,3.7,13.7,82,10.34,229.8,No,False
101,1,No,0,127,15.95,93.8,104,12.75,150.0,2,2.89,10.7,116,10.85,241.1,No,False
132,0,No,36,93,34.32,201.9,75,13.29,156.3,5,3.7,13.7,92,5.91,131.3,Yes,False
159,1,No,0,114,28.87,169.8,105,16.8,197.7,4,3.13,11.6,82,8.72,193.7,No,False
184,2,No,0,93,25.79,151.7,77,15.17,178.5,8,3.54,13.1,111,10.31,229.1,No,False
41,3,No,0,67,38.05,223.8,74,20.81,244.8,5,3.32,12.3,156,10.07,223.8,No,False
147,1,No,0,79,36.18,212.8,91,17.35,204.1,2,2.75,10.2,113,7.03,156.2,No,False
159,0,No,19,78,31.3,184.1,71,16.53,194.5,3,4.56,16.9,101,10.15,225.6,Yes,False
72,2,No,0,113,30.58,179.9,112,12.73,149.8,7,2.65,9.8,79,7.57,168.2,No,False
190,2,No,0,101,30.97,182.2,95,18.05,212.3,4,2.51,9.3,123,10.49,233.0,No,False
74,0,No,0,124,37.59,221.1,94,9.42,110.8,3,2.86,10.6,112,10.8,240.1,No,False
105,2,No,0,103,25.11,147.7,78,18.93,222.7,3,3.46,12.8,102,7.36,163.5,No,False
119,1,No,0,82,39.36,231.5,97,22.69,266.9,10,2.0,7.4,118,9.49,211.0,No,False
101,1,No,0,0,0.0,0.0,119,16.33,192.1,4,1.94,7.2,95,7.6,168.8,No,False
42,1,No,0,108,15.67,92.2,120,17.95,211.2,6,3.54,13.1,73,5.81,129.1,No,False
127,1,No,0,91,24.94,146.7,78,17.3,203.5,3,3.7,13.7,110,9.15,203.4,No,False
177,1,Yes,0,118,42.28,248.7,73,14.65,172.3,2,3.05,11.3,87,8.64,191.9,No,True
135,1,No,0,129,41.96,246.8,121,15.96,187.8,5,3.4,12.6,109,6.95,154.5,No,False
75,1,No,0,125,28.27,166.3,86,13.45,158.2,5,1.65,6.1,80,11.55,256.7,No,False
90,3,No,0,92,24.74,145.5,114,18.5,217.7,2,2.94,10.9,123,6.61,146.9,No,False
112,4,No,27,121,36.21,213.0,101,19.23,226.2,3,3.0,11.1,99,8.54,189.8,Yes,False
82,2,No,33,95,23.43,137.8,128,20.02,235.5,6,2.97,11.0,70,12.06,268.1,Yes,False
165,1,No,0,126,41.29,242.9,65,17.83,209.8,0,0.0,0.0,126,10.28,228.4,No,False
56,1,No,30,89,21.61,127.1,116,14.63,172.1,3,3.27,12.1,111,8.76,194.6,Yes,False
129,4,No,0,127,31.62,186.0,96,22.3,262.3,6,3.11,11.5,63,4.45,98.9,No,False
99,3,No,0,96,40.53,238.4,130,20.95,246.5,4,3.35,12.4,117,8.93,198.4,No,False
128,0,No,0,99,21.28,125.2,107,17.46,205.4,2,5.1,18.9,111,11.45,254.4,No,False
70,3,No,0,122,39.46,232.1,112,24.85,292.3,0,0.0,0.0,112,9.05,201.2,No,False
120,2,Yes,0,123,34.34,202.0,78,15.67,184.3,2,2.0,7.4,89,7.92,176.0,No,True
115,3,No,0,90,22.44,132.0,75,16.79,197.5,0,0.0,0.0,114,7.91,175.8,No,False
166,1,No,0,108,30.84,181.4,54,21.57,253.8,6,3.13,11.6,94,5.05,112.3,No,False
59,2,No,28,97,20.55,120.9,92,18.11,213.0,5,2.3,8.5,116,7.34,163.1,Yes,False
79,1,No,0,123,34.97,205.7,108,18.23,214.5,18,1.81,6.7,106,10.17,226.1,No,False
98,1,No,0,77,28.88,169.9,155,11.76,138.3,7,2.3,8.5,105,6.42,142.6,No,False
146,2,No,23,96,25.43,149.6,124,20.38,239.8,4,2.0,7.4,135,13.21,293.5,Yes,False
104,2,No,0,113,31.09,182.9,85,20.37,239.6,4,1.49,5.5,104,10.34,229.8,No,False
120,2,No,23,114,37.72,221.9,84,21.65,254.7,5,1.94,7.2,117,11.27,250.5,Yes,False
162,2,No,0,98,22.98,135.2,107,20.57,242.0,2,2.75,10.2,96,11.11,246.9,No,False
129,2,No,0,100,27.05,159.1,90,17.21,202.5,6,3.11,11.5,96,10.49,233.1,No,False
120,0,No,26,94,40.7,239.4,88,22.05,259.4,3,2.08,7.7,132,10.71,238.0,Yes,False
22,2,No,0,108,30.91,181.8,148,16.88,198.6,3,2.51,9.3,96,9.3,206.6,No,False
112,2,No,0,119,17.19,101.1,67,18.22,214.4,5,2.78,10.3,112,8.08,179.5,No,False
134,2,No,0,86,1.33,7.8,100,14.57,171.4,2,3.48,12.9,80,8.39,186.5,No,False
130,0,No,0,112,31.11,183.0,99,6.2,72.9,19,2.57,9.5,78,8.18,181.8,No,False
72,0,Yes,29,114,23.77,139.8,91,11.75,138.2,6,1.49,5.5,88,9.95,221.0,Yes,False
150,1,No,28,75,29.65,174.4,80,14.44,169.9,4,2.97,11.0,130,9.07,201.6,Yes,False
103,1,No,0,123,24.02,141.3,87,21.56,253.6,2,1.73,6.4,96,9.71,215.8,No,False
111,4,No,0,125,22.54,132.6,67,18.79,221.1,2,3.43,12.7,101,5.76,127.9,No,True
210,2,No,0,121,17.78,104.6,71,12.71,149.5,8,1.76,6.5,67,11.48,255.1,No,False
10,2,No,0,112,31.64,186.1,66,16.17,190.2,6,3.08,11.4,57,12.73,282.8,No,False
160,1,No,0,136,39.93,234.9,134,23.02,270.8,2,3.75,13.9,101,9.87,219.3,No,True
48,3,No,0,146,25.36,149.2,109,13.76,161.9,2,2.24,8.3,109,8.91,197.9,No,False
138,0,No,0,96,35.0,205.9,94,21.85,257.1,8,3.27,12.1,63,9.4,209.0,No,False
67,2,No,0,65,23.61,138.9,109,17.76,208.9,3,2.48,9.2,82,10.46,232.4,No,False
125,0,Yes,0,118,31.84,187.3,111,13.66,160.7,2,2.59,9.6,112,11.87,263.8,No,True
86,1,No,0,92,15.78,92.8,87,13.57,159.6,5,2.38,8.8,115,6.69,148.7,No,False
67,2,No,0,134,18.55,109.1,76,12.1,142.3,5,2.94,10.9,86,4.1,91.2,No,False
53,2,No,0,113,20.35,119.7,84,16.12,189.7,7,3.48,12.9,108,11.53,256.2,No,False
87,1,No,0,124,40.32,237.2,87,18.92,222.6,3,2.97,11.0,81,7.8,173.3,No,False
63,1,No,34,119,25.87,152.2,91,19.3,227.1,5,3.32,12.3,103,8.81,195.7,Yes,False
102,0,Yes,0,103,39.75,233.8,131,18.84,221.6,3,3.46,12.8,106,6.61,146.9,No,False
144,0,Yes,0,69,25.5,150.0,73,24.3,285.9,15,2.54,9.4,121,8.58,190.6,No,False
142,1,No,40,101,39.22,230.7,88,21.83,256.8,3,1.73,6.4,92,11.88,263.9,Yes,False
85,3,No,0,81,38.25,225.0,63,15.04,176.9,2,1.92,7.1,110,8.74,194.3,No,False
115,7,No,0,89,23.68,139.3,95,16.35,192.3,3,2.51,9.3,75,6.8,151.0,No,True
174,2,No,0,96,23.7,139.4,108,12.19,143.4,5,2.7,10.0,107,10.13,225.2,No,False
87,1,No,0,93,26.66,156.8,68,18.34,215.8,6,2.05,7.6,77,10.05,223.3,No,False
123,4,Yes,0,106,21.34,125.5,96,10.96,128.9,6,1.7,6.3,129,11.34,251.9,No,True
98,4,No,21,114,27.4,161.2,83,21.44,252.2,8,1.19,4.4,92,7.21,160.2,Yes,False
95,1,No,0,83,40.34,237.3,65,13.09,154.0,6,3.02,11.2,105,10.67,237.0,No,False
37,3,No,0,112,46.19,271.7,96,13.18,155.1,4,1.78,6.6,97,8.98,199.5,No,False
27,1,No,0,67,38.66,227.4,115,21.08,248.0,6,2.11,7.8,109,2.76,61.4,No,False
17,1,No,0,123,27.46,161.5,81,18.21,214.2,5,2.32,8.6,106,14.18,315.0,No,False
101,5,No,0,114,39.56,232.7,123,15.84,186.4,6,3.11,11.5,122,6.9,153.3,No,False
72,1,No,39,98,15.78,92.8,115,23.05,271.2,7,1.57,5.8,83,7.52,167.1,Yes,False
86,2,No,0,125,12.02,70.7,113,17.94,211.0,0,0.0,0.0,107,7.86,174.6,No,False
131,1,No,33,100,30.11,177.1,85,16.49,194.0,5,1.4,5.2,124,11.4,253.4,Yes,False
30,2,No,0,96,27.59,162.3,122,20.74,244.0,4,2.46,9.1,89,8.1,180.1,No,False
90,2,No,27,51,26.64,156.7,118,20.1,236.5,6,3.4,12.6,111,5.54,123.2,Yes,False
127,1,No,0,128,17.48,102.8,95,12.21,143.7,5,2.7,10.0,97,8.61,191.4,No,False
84,1,No,33,106,27.05,159.1,101,12.73,149.8,18,3.51,13.0,108,9.6,213.4,Yes,False
96,1,No,0,125,30.52,179.5,139,13.8,162.3,2,1.78,6.6,133,11.9,264.5,No,False
83,1,No,0,71,35.51,208.9,92,18.26,214.8,5,3.51,13.0,108,11.16,247.9,No,False
69,1,Yes,33,98,46.16,271.5,102,21.54,253.4,2,2.21,8.2,85,7.44,165.4,Yes,True
108,0,No,0,117,35.8,210.6,103,13.96,164.2,5,2.54,9.4,68,9.06,201.4,No,False
110,0,Yes,0,79,49.86,293.3,90,16.02,188.5,4,3.92,14.5,91,12.01,266.9,No,True
59,3,No,0,95,27.35,160.9,65,21.35,251.2,5,1.35,5.0,97,12.3,273.4,No,False
79,1,No,0,112,25.87,152.2,132,15.06,177.2,3,1.43,5.3,87,4.34,96.4,No,False
